Data;Resultado;Mistura
26/06/2023 07:51;01:14.00;R' B U' L F' D R F' U R B' U' L F U' L' F' U R' F' D' R F D R'
26/06/2023 07:49;53.10;L F D' R B U R F' U L B D R F' U R' F D' R' B D' L' B U R
26/06/2023 07:48;56.88;L' B U L' F' U L' B D L' B D' R' F' D' R F' U' R' B' D' R B D' L
26/06/2023 07:46;01:00.71;L' F' D L B' D' R B D L F' D' L' F' U' L B D' L B' D' R F' U R'
26/06/2023 07:44;01:13.02;R F U' L' F U L' F' D' R' F' U R' F' U' R' B' D' R B' D' L' B D' L'
26/06/2023 07:43;01:09.88;R F' U R' F' U' R' F U R B D R F U L' B' D' L' F D' R B' D L'
26/06/2023 07:40;53.65;L' B U' R' F D R F' U L B' U' L B' D' R F' D' R' F D' R F' D' L'
26/06/2023 07:36;01:03.84;R' B' D' R' F' D' L F' D' R' B D L F' U L F' D R' B' D L B' U R'
26/06/2023 06:57;01:00.29;L' F' D L B D' L' B D L' F D' R' B' D' R F U R' F D' R B' U L'
26/06/2023 06:55;59.58;R F' U L' F' U L' B D R B' U' L F D L' F D R' F U L' B D L
26/06/2023 06:52;01:02.10;R' F' U' L' B D' L' B D' L' B' D' R B U R F U R' F' U R F U R
26/06/2023 06:44;01:07.32;R F U L F D L B' D R' B' D R' F' U R F D L F' D' L F D' R'
26/06/2023 06:41;01:07.66;L B D R' F' D' L' F' U' L F U' L F' U' R F' D L F' D' L' B U' R
26/06/2023 06:39;01:18.17;L B D L B D' L' B' D R' F' U R' B D' L' B D' L F' D' R B U R
26/06/2023 06:37;58.79;L' B D R F D L F U' R F D' R B' U L F' U L' B D R B U R'
26/06/2023 06:36;01:23.34;R F U L B U' L B' D' R F' D' R' B D' R F D' L F D' L' F' U L'
26/06/2023 06:33;01:49.51;L' B U L F D' R' F' U' L' B' U R' F D' R' B' D' L F D' R F' D L'
23/06/2023 16:41;01:04.96;L F' D' R' F' U' L F' U L F D' L B' D R' F U R F' D' R' F D L
23/06/2023 16:39;48.20;R' F D' L B' U' L' F' U L F' U' R F D R' B' D' R' B D L' B U R'
23/06/2023 16:37;01:10.02;R' F' U L B' U' R B' D' R B D R' F U' R' B D L F' U L' F D' R'
23/06/2023 16:34;01:14.25;L' B' U' R' F' D L' F U R' F' D L F D L' B' D' R B' D L B' D L
23/06/2023 16:31;57.44;L B' U R B' D' R' B D R' F D' L' B' U R' F U R' B' D' R F D L'
23/06/2023 16:29;01:15.48;L F D L B' U R' F' D' R F' D' L' F' D' R B D R B' U' L' B U L
23/06/2023 16:27;01:02.33;L' B' D L B' U L B U' L' B U L B' D' R' F D R' F' U' R' B U' L
23/06/2023 16:26;01:27.08;R' B U' R' F D L' B' U R F' D L F D R' F' D R B' D L' F' U' L'
23/06/2023 16:21;01:06.07;R B' U' L' B D L F U' R' B' U' R F' U' R B' U L F' D' R F U' R'
23/06/2023 16:19;01:42.33;L F U' R B U R B U' L' B U L B U' R' F D R' B' D' R B' D L
23/06/2023 16:17;01:02.57;R' B' D' R' B U L F U' L B U' L' F' D' L F D' L' F' U' R F D R
23/06/2023 16:15;01:24.15;R B D' L B U R' F D R B U' L F U' L F' D R' B D L F' U' R
23/06/2023 16:13;01:18.78;R F' U' R F D L' F D' L' F' D' R B U L B' U' L F' U L' B D L'
23/06/2023 16:10;01:31.09;L' B' U' R F' U R B U' L F' U L B U' R' F' U R F U' R F' D' R'
23/06/2023 16:06;01:00.87;L B' U L' B D' L B U R' B' D' L' B' D R B' D' L F D L B D' R
23/06/2023 16:03;01:07.81;L F D R B D' L' B' D R F U R B' D R' F D' R B U L B' D R'
23/06/2023 16:02;01:30.66;L' F D R B' D' R B U' L F D L F' U' R' F U' R' F D' L F U L
23/06/2023 11:30;01:25.07;L F' D' R F' U' L F U' R F D' L B' D R B D L' B U' R F D' R'
23/06/2023 11:25;01:33.56;L' B U L F U' L B' D L' B' U' L B U L B' U' R' B' D' L' B' U' L'
23/06/2023 11:23;01:12.92;R' B' U R' B' U' R F U' R' B U R' F U R' B' D' R F U' L B' U' L'
23/06/2023 06:58;01:32.65;L' B' U' R B' U L' B' U' L' F U R' B' D' R F U L' B U' R' B D' L
23/06/2023 06:54;01:12.56;L B D R' F' U' R' F D R' B' D L F D L F' D' L B' U' L' F' U' R'
23/06/2023 06:52;01:19.16;R B U' L F' D R' B' U L B D L' F' D' L B' D L' F U R B' D' R
23/06/2023 06:44;01:33.95;L F' D L B D' R B' U R' B' U' L F U R F' D L B' D L B' D' R'
23/06/2023 06:42;01:18.31;L B U R B' D' R F U' R' B U R' B U' L F D L' B' U' L' F' U L'
23/06/2023 06:39;01:15.41;R' B' U' L' B' U L' B D R' F U L B' U' R B' U R' B' U' R F' U' R'
23/06/2023 06:37;01:22.18;L' F' U' R B U' R' F' U' R F U L' B' U' L B U' L B U' R B' D R
23/06/2023 06:35;01:36.27;L B' D R' B U' R F' U R' F D R' B' D L B U' R' F' U R B' D' R
21/06/2023 06:50;01:07.82;R B U R' B D' L F' U' R' B' D R' B U' R' B U L F' U R F' D' L
21/06/2023 06:48;01:03.92;L' B D R' B' U' L B' U' L' B U' L B U L' F' U L' B' D' R F D L'
21/06/2023 06:46;01:24.12;R' F' D L' F U' L B U' L F D L B' D' R F' U' R F U R F' U' R
21/06/2023 06:37;01:30.68;L F' U' R' B U R B' D R B' U R' F D' L' F D R' B D' R' B D' R
21/06/2023 06:35;01:25.35;R F' D R F' U L B U L B U R B D' L' B U' L B' U R' F U L
21/06/2023 06:33;01:16.77;L B D' R B D R' B' U' L F' U' R' F' U R F D' R' F D R F' D' R
21/06/2023 06:31;01:24.06;R F U' R B' U L' F' U' L' F D' L' B' D' L' F' U' L F' U' R' B U R'
21/06/2023 06:29;01:29.95;L' B U R' F D R B' U L' F' U L B D R B D' L F D' L' B' U R
17/06/2023 12:28;01:13.74;L' B' D' R' B D' R F U' L' F D R' F U' L F U L B D' R B' U R'
17/06/2023 12:26;01:28.65;L B' D L B U' R' F D R' F' U' R F' U R' F D R F' D R' B' U' R'
17/06/2023 12:18;01:31.03;R B' D L' F D R F U R B' U' R B U' L' F U L B' D L B U R'
17/06/2023 11:58;01:51.82;R F U' L' B' D R' F' D' R F' U L B U R' B U' R' B D' R B U R'
17/06/2023 11:53;01:10.38;L F D' R F U L B D L' F' D' R F U' L F' D' L F D L F' D R
17/06/2023 11:51;01:10.02;R' B' U' R B' U R F' D' R B' D L' B' U' L B' U' L' F' U' L B U L
17/06/2023 10:59;01:15.94;R' F U L' B' D' L F' U' R' F' D R B' D L B D' L' F U R B' U R
16/06/2023 16:38;01:30.93;R' F' D R' F' D' L F' U' L B' U' R B' D R' F' U' R' F U R F U' R'
16/06/2023 16:33;01:11.53;L B D' R' F' D R' F D' R B U' L F D L' B U' L' F' U' L' F' D' R
16/06/2023 16:30;01:31.92;R F D L' B D L F' U' R F' D' R B' U L' F D L' B' U R' B' D L
16/06/2023 16:28;01:23.68;L' B' D R' B U' L' F' D' L' F' D R' B' D L' B' D R F' D R' F' U L
16/06/2023 16:26;01:34.53;R B' U L B' D' L F U' L F D R B' U L B' U R F' D L' B D' L
16/06/2023 16:10;01:21.68;R B D' L' F D R' F' U' R' B U R B U R F U R' B' D' R B U R
16/06/2023 16:08;01:20.83;R F' U' R B U' L' B' D' L B' U R' F U' R' F' U' R F D L F U R
16/06/2023 16:03;01:21.31;R' F' D R F' U' L' F D' R' B U' L B U L' F D L' B U' L F D L
16/06/2023 16:01;01:00.80;R B U' L' F D' L F U R F D R' F U L' B U' L B D R' B D R'
16/06/2023 15:59;01:31.27;R F D' R' F D' L F' D' R B D L' B' U L' F' U R B U R F' D R
16/06/2023 15:56;01:55.23;L' B' U' L' F U' R B U L' F D L F U L B D' L' F' D L F' U' R'
16/06/2023 15:49;01:48.34;R' F U' L B D' R' F' D R F' D' R B' U' R B' U' R' B' U L' F U' R
01/06/2023 14:27;01:11.53;L F' D' R F' U R B U' R F D' R B' D L F' U' L' F' D' R' F U' R
01/06/2023 14:25;01:07.86;R B' U' L' B U L' F' D R' F' U L B D' R F D R' F D' L' B D L'
01/06/2023 14:23;01:18.23;L' B D' R' B' U' L' B' U' R' B' U R F D' R' F U R' F D L' F D L'
01/06/2023 14:21;01:20.49;R F' D R F' U L F' D L' B U L B' U' L' B' D' L' F D R' F' U' R'
01/06/2023 14:19;01:09.21;R F U' L' F U' L' B' D L B D' L' F' U L' F' D' R B' U L' B U' R'
01/06/2023 14:17;01:07.91;R F' D R' F U' L B' D' L' B' U' R B U R' F D L' B D R B' D' R'
01/06/2023 14:15;01:16.25;R F' D' R F D' R' B' U' R B' U' R' F D R F U' L' F D' L' B U' R
31/05/2023 22:55;01:39.34;L F' D L F' D' R' B D' R' B U L' F' D R' F' U L' F U R' B' U' L'
31/05/2023 22:53;01:34.24;R' B D' R' B U R' F D' R' B U' R B U' R B U R' F' D' R F U' L
31/05/2023 22:51;01:46.13;L' F' D' R' F' U' L F' U L B' U R' B U' R B' D R' B' U R B' D R
31/05/2023 22:48;01:43.34;R B D' R' F D R' F' D' L' F D' L' B' D L' F' U' L' F U R' B' U L
31/05/2023 18:42;01:42.62;R' B' D R F' D' L F U R' F' U L' B' D' R F' U R' F D R' B' D L'
31/05/2023 18:39;01:30.21;R' F U' R' B U' L F D' R' F' U' L' F U' L F' D L' F D L B D' R'
27/05/2023 11:04;02:02.98;L' B D' R F' D' L B' D' R F D' R' B' U' R' B D' L' B D R B D' L
27/05/2023 11:01;01:43.21;L F U' R' F U L B' D R F' U' L F' U' R F' U' L' F U' L F' U' L'
27/05/2023 10:59;01:40.23;R' F D' L' B D R B' U' R' B U R' F U' L' F D R F' U R B U R
27/05/2023 10:55;01:28.12;R' B U R B' D' R B' D R' B U R' B D R' B U' L B' U' L' B U L'
